Title,Url,Category,Views,Activity,Replies,Content,
,,,,,,Eric_Stackpole,"Hey <a class=""mention"" href=""/u/Dag"">@Dag</a>- Iâ€™m not sure I understand what youâ€™re trying to do, but the thread on the tether connector is M5x0.8. Best of luck!-Eric"
,,,,,,Dag,"Hi,<div class=""lightbox-wrapper""><a class=""lightbox"" href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/original/2X/5/5ed692f0351ae75945408f629a2d609b53e9b6b5.jpeg"" data-download-href=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/5ed692f0351ae75945408f629a2d609b53e9b6b5"" title=""image1.JPG"" rel=""nofollow noopener""><img  width=""669"" height=""499"" srcset=""https://discourse-cdn-sjc1.com/business6/uploads/openrov/optimized/2X/5/5ed692f0351ae75945408f629a2d609b53e9b6b5_1_669x499.jpeg, https://discourse-cdn-sjc1.com/business6/uploads/openrov/optimized/2X/5/5ed692f0351ae75945408f629a2d609b53e9b6b5_1_1003x748.jpeg 1.5x, https://discourse-cdn-sjc1.com/business6/uploads/openrov/optimized/2X/5/5ed692f0351ae75945408f629a2d609b53e9b6b5_1_1338x998.jpeg 2.0x""><div class=""meta"">
<span class=""filename"">image1.JPG</span><span class=""informations"">2592x1936 965 KB</span><span class=""expand""></span>
</div></a></div>"
,,,,,,pforperry,Hey thatâ€™s really clever.
1080p video not recorded,https://forum.openrov.com/t/1080p-video-not-recorded/6888,Trident,87,43384,2,1080p video not recorded - Trident - OpenROV Forums,
,,,,,,,
,,,,,,gael.goujon,"Hi there,I got my trident last week. My son and I are still discovering the system, for sure we enjoy it a lot. It was worth waiting all this time.However I have a slight problem. I have been looking for the 1080p video in the Trident internal memory but I have not been able to locate them. The â€˜Trident-1080pâ€™â€™ remains desperately empty.<br>
I probably dir not search well enough but I could not find these high res videos anywhere.<br>
Not problems for the 720p though, the â€˜â€˜Pilotâ€™â€™ folder is well populated with the videos.The 'â€˜record Trident HQ Videoâ€™'option is activated.<br>
The software version are 1.5.8 for the app and 719eb7 for the Trident.Any clue from anyone?Regards.<br>
@+  GaÃ«l."
,,,,,,Peter_S,"I had a similar â€œbugâ€ where I recorded the dives in 1080p, and could actually see them before I closed down the Trident. But the next time I started it and was going to download the video in HQ, it was gone. And still it said that a certain amount of space in the onboard memory was used.But when I started diving and recording video again, suddenly all the old videos in HQ was also visible. So I contacted <a href=""mailto:support@openrov.com"">support@openrov.com</a>, and they did some remote update, and now it seems to work as it should <img  title="":slight_smile:"" class=""emoji"" alt="":slight_smile:"">"
,,,,,,gael.goujon,"Hi Peter,Thanks for the advice, I just contacted the Open ROV Support.Regards.<br>
@+  GaÃ«l."
Gen 2 Motor Status?,https://forum.openrov.com/t/gen-2-motor-status/6806,Trident,198,43376,3,Gen 2 Motor Status? - Trident - OpenROV Forums,
,,,,,,,
,,,,,,spaceaholic,"Its been a while since weâ€™ve received updates regarding testing of the new generation motors. My order was delayed (again) until this month. Can we get an update from the OPENROV staff on where things stand with production and the nextgen motors?Thanks -<br>
Scott"
,,,,,,Eric_Stackpole,"Hey <a class=""mention"" href=""/u/spaceaholic"">@spaceaholic</a> - There were some minor delays, but for the most part weâ€™re still on schedule. Weâ€™ve now started shipping the first batch of Gen2 motors, and you should have received an email confirming your address etcâ€¦ If not, email <a href=""mailto:support@openrov.com"">support@openrov.com</a> and they should be able to help you. Thank you for waiting, and weâ€™re looking forward to getting this to you!Eric"
,,,,,,spaceaholic,I have not received the emailâ€¦will send them a note nowâ€¦
,,,,,,spaceaholic,"Eric (or anybody at OPENROV who is reading this forum)â€¦I have sent two notes to the support email address provided and have not had any responses back. Can you assist with unsticking this? Need an update on when the order will shipâ€¦order #'s102919596 (<a href=""https://dashboard.trycelery.com/orders/102919596"" rel=""nofollow noopener"">https://dashboard.trycelery.com/orders/102919596</a>) that is the controller102919592 (<a href=""https://dashboard.trycelery.com/orders/102919592"" rel=""nofollow noopener"">https://dashboard.trycelery.com/orders/102919592</a>) this is the Trident (with improved motors) along with 100m Tether and hardcase."
Camera Quality Concerns,https://forum.openrov.com/t/camera-quality-concerns/6252,Trident,794,43374,9,Camera Quality Concerns - Trident - OpenROV Forums,
,,,,,,,
,,,,,,julianlaurence,"Hi, i pre-ordered not to long ago and have been keeping a close eye on all the youtube videos popping up as people finally get their Tridents.Iâ€™m very concerned about the image quality coming out of the trident. The shark/seal videos shown on the openrov website look far better than many of the trident videos i see on youtube and far worse than other drones iâ€™m seeing out there.Is this user error, a beta version camera or something else. Were the promo videos filmed with a gopro or something equivalent strapped to a trident rather than out of the native camera.This video in particular really showed a contrast with another camera<br>
And comparing<br>
with another video such asIm seeing dramatic degradations in quality on the Trident camera between videos. Is this the best we can expect ??"
,,,,,,charlesdc,"Hi <a class=""mention"" href=""/u/julianlaurence"">@julianlaurence</a>,Most of the videos we have posted on the website were using the 1080p stream from Trident, which is why they generally look better than 720p recordings that users have been posting.Trident has two video streams: one at 720p30, which is optimized for transmission over wifi to achieve low latency and reduce lost frames (and thus has lower visual quality), and a 1080p30 stream which is optimized for high quality footage. The bandwidth requirements for the 1080p video are generally too high to deliver a reliable piloting experience, so that stream is designated to be recorded to internal memory on Trident, and downloaded later after the dive. We record the 720p video live on the userâ€™s mobile device so that they have an immediately reviewable video, or a backup in case the Trident is somehow lost before they can sync the HQ video. In the currently deployed Beta software, the onboard recording feature has not yet been released, so the videos being posted are from the 720p stream, which is lower quality and can have missing frames.I uploaded a recent dive that <a class=""mention"" href=""/u/codewithpassion"">@codewithpassion</a> and I did earlier in the year using an alpha version of the onboard recording software. The quality of the camera has been adjusted such that it is better than what you see in the shark and seal videos:The onboard recording feature is almost ready and will be deployed as an update in the near future."
,,,,,,julianlaurence,Thanks very much for your rapid response and for clarifying.The Oahu video looks fantasticCheers!
,,,,,,andreas_lindberg,"Wow Charles, thatâ€™s complete news to me! Canâ€™t recall ever seeing info on that beforeâ€¦ Iâ€™ve always assumed the stream was supposed to be 1080p.<br>
Iâ€™ll be using the Trident to see and find stuff more than to make beautiful images and so 720p is usually good enough. Good to know that the 1080p will be available though.<br>
How many minutes of 1080p will fit in the onboard memory?"
,,,,,,brickbazooka,"Team, is the ability to download the 1080p stream available now? Do I need an updated app?Thx<br>
Andy"
,,,,,,thor918,Yes how do we get the 1080 downloaded? I see I only got 720 when transfering my latest video
,,,,,,costa.aj,Hi was wondering if there was an update on the 1080p video stream.  Is it available yet Iâ€™m not seeing it as an option?
,,,,,,webhoppery,"You have to enable the â€˜hiddenâ€™ Experimental mode. Go to Settings then tap â€œSettingsâ€ title at the top of the screen 10 times fast. An Experiments option should show up. If not, try again.Tap Experiments then Enable â€œUse 1080p instead of 720p videoâ€ option, and note the warnings.This was in the Cockpit app v1.5.2."
,,,,,,boatsd,Will this give a 1080 live pilot view?
,,,,,,webhoppery,"The warning in Settings -&gt; Experiments in v1.5.2 for option ""Use 1080p instead of 720p video is :<br>
â€œIf you have a solid wifi connection and a powerful enough phone or tablet you can use the HQ 1080p stream as your flight videoâ€To me that implies a 1080p live piliot view IFF you satisfy the requirements in the warning, plus with margins for reliability in the field. I donâ€™t know how you would determine the margin for a given setup or what would be a â€œpowerful enoughâ€ device.They buried it in Experimental probably to imply try at your own risk."
